Open,High,Low,Close,Volume,Dividends,Stock Splits
129.97535392263828,130.0629610638514,123.39481436257799,125.9744644165039,143301900,0.0,0.0
125.46829078537516,128.24263632210662,125.02049610454635,127.5320053100586,97664900,0.0,0.0
124.3293440895093,127.5709424258299,123.02491398664694,123.23907470703125,155088000,0.0,0.0
124.95233107817177,128.13552408640413,124.46560495444153,127.44436645507812,109578200,0.0,0.0
128.9143049184012,129.10900729754997,126.77271243111933,128.54440307617188,105158200,0.0,0.0
125.76029392736588,126.71427293823224,125.08860952298478,125.55586242675781,100384500,0.0,0.0
125.08861473418492,126.24702529391881,123.4921536305582,125.38065338134766,91951100,0.0,0.0
125.34174066662901,127.9603303123861,125.07891918186495,127.41519927978516,88636800,0.0,0.0
127.32757155716695,127.52225905827079,125.34172042627678,125.48774719238281,90221800,0.0,0.0
125.36118590805361,126.76295959555424,123.6284420036996,123.76472473144531,111598500,0.0,0.0
124.38772578454656,125.29304408982054,123.57002946950722,124.4364013671875,90757300,0.0,0.0
125.24438780808299,128.97271223666024,125.13730745125214,128.52491760253906,104319500,0.0,0.0
130.2478839087022,135.96204254195973,130.04345244783565,133.2363739013672,120150900,0.0,0.0
132.66205104466366,136.13728217261755,131.43550674558008,135.37799072265625,114459400,0.0,0.0
139.27182020640586,141.23818305206848,132.91516336360118,139.12579345703125,157611700,0.0,0.0
139.78775742744395,140.4691710725819,137.61694808504978,139.35943603515625,98390600,0.0,0.0
139.6222910011425,140.4692048133965,136.68247501830064,138.28866577148438,140843800,0.0,0.0
135.81607367562873,138.22050212672593,133.07093096645877,133.45057678222656,142621100,0.0,0.0
132.22402749273948,133.10987264929705,126.753230328146,128.45677185058594,177523800,0.0,0.0
130.19924214528973,131.7859741111612,127.45409959233686,130.57888793945312,106239800,0.0,0.0
132.12667146199954,132.69127555683025,131.0364096809211,131.4063262939453,83305400,0.0,0.0
132.15589194554707,132.165635975879,130.0629752354402,130.38421630859375,89880900,0.0,0.0
132.6815098602957,133.75229814234294,131.01690041358142,133.74256896972656,84183100,0.0,0.0
133.90345338134028,133.97168912108438,132.4508369108214,133.3282470703125,75693800,0.205,0.0
132.61664040415283,133.5233119393928,131.53449269326285,133.4745635986328,71297200,0.0,0.0
133.1917548672735,134.4201468877061,132.44108738356064,132.59706115722656,76774200,0.0,0.0
133.05529021983176,133.5525022619222,131.0274820724659,131.99264526367188,73046600,0.0,0.0
132.4898645085888,132.9675743269367,130.41332257065082,131.73919677734375,64280000,0.0,0.0
130.9787653308469,132.12914848493614,130.33532312132203,131.97315979003906,60145100,0.0,0.0
132.09015902011436,132.59709996571863,129.45789813500429,129.84786987304688,80576300,0.0,0.0
127.95652384973054,128.9021846827299,126.22119084968794,127.55680847167969,97918500,0.0,0.0
125.95797287967874,126.7379014019475,124.21289601346298,126.45518493652344,96856700,0.0,0.0
126.9718859638425,127.43009341839543,125.56801758188449,126.61116027832031,87668800,0.0,0.0
124.79784515359262,126.46494274164387,122.44832304893025,122.83828735351562,103916400,0.0,0.0
120.65448673963841,123.53045927947294,115.41923371769597,122.70178985595703,158273000,0.0,0.0
121.80486663626253,122.40930413496974,119.16286991288813,122.20457458496094,111039900,0.0,0.0
121.55140392768223,123.28673718148006,117.51528958023444,117.95399475097656,148199500,0.0,0.0
119.51382934353043,121.71712094720249,118.15870939243611,118.21720886230469,164560400,0.0,0.0
120.64473383419431,124.71984514122286,119.70882406427694,124.58335876464844,116307900,0.0,0.0
125.18780674062197,125.49002551913253,121.87312157746639,121.98036193847656,102260900,0.0,0.0
121.67814867049456,122.55556651851715,118.78267349099536,118.99715423583984,112966300,0.0,0.0
118.69492201638303,120.49849839926789,115.64346591859298,117.11557006835938,178155000,0.0,0.0
117.94426066844194,118.88017056362067,114.61982398763308,118.37321472167969,153766600,0.0,0.0
117.89547084678318,117.96371402018603,113.2939099031968,113.44014739990234,154376600,0.0,0.0
116.04316214765258,118.99712873808402,115.80918658429786,118.05146789550781,129525800,0.0,0.0
118.63642743151894,119.10437859558475,116.45263053937967,116.9693374633789,111943300,0.0,0.0
119.46509072342045,120.1182765520443,118.21721109919896,118.89964294433594,103026500,0.0,0.0
117.3788074668468,118.1294826044811,116.1699248367297,117.99299621582031,88105100,0.0,0.0
118.36346113570012,120.88846666765528,117.39829786101335,120.87871551513672,92403800,0.0,0.0
122.54580261068884,124.02766536377307,121.59039794957519,122.4190673828125,115227900,0.0,0.0
120.93719630957409,122.70177530738493,119.27009907008946,121.62937927246094,111932600,0.0,0.0
119.79655333524822,120.08902837100626,117.30079413178964,117.50552368164062,121229700,0.0,0.0
116.89134214689703,118.38294855656439,116.67686143267959,116.97908020019531,185549500,0.0,0.0
117.31054946298083,120.76172079332808,117.24230627726561,120.29376220703125,111912300,0.0,0.0
120.23528824072892,121.12244978834059,119.07514647128622,119.4651107788086,95467100,0.0,0.0
119.73808337691133,119.8160777258849,117.05708899403655,117.07658386230469,88530500,0.0,0.0
116.54037047817636,118.60717576184044,116.01391986522562,117.56401824951172,98844700,0.0,0.0
117.33002897963378,118.4316783965719,115.9359119927255,118.16844940185547,94071200,0.0,0.0
118.59741859593674,119.50408225482553,117.70050608807547,118.34394073486328,80819200,0.0,0.0
117.09607172542653,117.37879562712054,115.87743806534003,116.89134216308594,85671900,0.0,0.0
118.59743117177423,120.42050239594532,118.10997769999379,119.08488464355469,118323800,0.0,0.0
120.55699346889742,121.06394179532072,119.41634671803331,119.9135513305664,75089100,0.0,0.0
120.76171631176526,122.99425393009696,119.9817878428641,122.74077606201172,88651200,0.0,0.0
123.32573080877205,123.93991951774667,122.49706137788411,123.04300689697266,80171300,0.0,0.0
122.67254799737614,124.71010003062226,121.99985979599343,124.69060516357422,83466700,0.0,0.0
125.71425994840894,127.11812846744388,125.29505706125592,127.08888244628906,88844600,0.0,0.0
126.54291392534559,129.70160264420477,126.22119287511026,129.66261291503906,106686700,0.0,0.0
129.19465689236446,129.51637793041473,127.35208358418392,127.94677734375,91420000,0.0,0.0
129.11669192988782,131.28098676840776,128.6194798143975,131.05674743652344,91266500,0.0,0.0
131.55396314021985,131.6124551846021,128.35626912284386,128.71697998046875,87222800,0.0,0.0
130.46205515581354,131.61243821608534,130.286564169391,131.12498474121094,89347100,0.0,0.0
130.92998916765907,131.29069993150603,129.93558004398386,130.7935028076172,84922400,0.0,0.0
130.15982336917756,132.07064756343885,129.99409097045535,131.45645141601562,94264200,0.0,0.0
131.6319582978669,132.12915555406386,128.502500021129,129.76988220214844,94812300,0.0,0.0
129.0386769276597,130.39379691363274,128.00527800142257,130.1500701904297,68847100,0.0,0.0
129.70158464304262,130.78373170695372,128.11249679084415,128.6291961669922,84566500,0.0,0.0
128.8437210981472,131.72943767595572,128.8437210981472,130.94952392578125,78657500,0.0,0.0
131.44671790843336,131.67094236224486,130.20858180313348,131.3394775390625,66905100,0.0,0.0
131.6221988567553,132.01217061234453,130.744788439507,131.01776123046875,66015800,0.0,0.0
130.93975103357886,131.6319415185454,129.74061964154626,130.2280731201172,107760100,0.0,0.0
133.04557765920794,133.63052788949472,129.12644681845208,130.13059997558594,151101000,0.0,0.0
128.4732785080669,130.2086122539688,127.78110267871843,128.16131591796875,109839500,0.0,0.0
128.7267036427075,130.70577838338053,128.5219815192614,129.2141571044922,75135100,0.0,0.0
127.89804644623831,128.19052150938094,123.52070884107249,124.64185333251953,137564700,0.0,0.0
125.95797834787251,127.17661206810328,124.75884693241741,124.88558959960938,84000900,0.0,0.0
124.68083714349731,126.49416448959799,123.9399058507591,126.48442077636719,78128300,0.0,0.0
127.78324849809151,128.1836279216994,126.44534732764843,127.15824890136719,78973300,0.22,0.0
126.37699713829772,126.50394017112625,123.83792786540381,123.87699127197266,88071200,0.0,0.0
120.60552510907532,123.31060121990447,119.89263087268371,122.95904541015625,126142800,0.0,0.0
120.50784795937597,121.71878371455706,119.38479927769015,119.89260864257812,112172300,0.0,0.0
121.66021008886267,123.19341357180042,121.34771025318693,122.04106903076172,105861300,0.0,0.0
123.29107148009538,124.89263410961189,122.90044481301196,124.46294403076172,81918000,0.0,0.0
123.84769755764366,123.95512006477786,122.23636740121376,123.31058502197266,74244600,0.0,0.0
123.59379552967953,124.01371786549493,121.8555147978895,121.92387390136719,63342900,0.0,0.0
120.27349147179841,121.99223682754793,119.9805196188087,121.76763153076172,92612000,0.0,0.0
122.2949800317053,124.72661966171272,122.1680220813628,124.32622528076172,76857100,0.0,0.0
124.82426479688547,125.00004641017311,122.27543512950636,122.49028015136719,79295400,0.0,0.0
123.05668957229345,124.94145621305331,122.98833046928489,124.12113952636719,63092900,0.0,0.0
124.82428611341189,125.3125750786712,123.35944156938784,123.92584991455078,72009500,0.0,0.0
123.98441377739123,124.40433608477755,123.45706896458631,123.87699127197266,56575900,0.0,0.0
123.4766199875777,124.6484925303121,122.14849379883397,122.34380340576172,94625600,0.0,0.0
122.62699066719642,122.85160338976284,121.63089988807833,121.68949127197266,71311100,0.0,0.0
122.1484865589402,122.4121552577231,121.03520547415292,121.36723327636719,67637100,0.0,0.0
121.36722658627286,122.30472600333286,121.14262130905783,122.12894439697266,59278900,0.0,0.0
121.7578580944845,121.92387199310579,120.24418267613345,120.64457702636719,76229200,0.0,0.0
121.16213974078971,123.20315975663462,120.94729474432367,122.93948364257812,75169300,0.0,0.0
